DBN,District,School Name,Is Org Split-Sited,Building ID(s),Transfer School,Total Enrollment,Grades 3K-PK-5 Enrollment,Grades 6-8 Enrollment,Grades 9-12 Enrollment,% Asian,% Black,% Hispanic,% Multiple Race Categories Not Represented,% White,% SWD,% ELL,% Poverty,2018-19 ELA # Tested,2018-19 ELA # Proficient (L3&4),2018-19 ELA % Proficient (L3&4),2018-19 Math # Tested,2018-19 Math # Proficient (L3&4),2018-19 Math % Proficient (L3&4),2018-19 Total 4-year August Grad Cohort,2018-19 % 4-year August Graduates,2018-19 Total 6-year Grad Cohort,2018-19 % 6-year Graduates
02M282,2,Urban Assembly Maker Academy,false,M520,false,435,0,0,435,0.099,0.292,0.469,0.039,0.101,0.211,0.051,0.745,,,,,,,76,90.8%,,
02M288,2,Food and Finance High School,false,M535,false,379,0,0,379,0.055,0.314,0.573,0.016,0.042,0.216,0.037,0.852,,,,,,,82,85.4%,86,93.0%
02M289,2,I.S. 289,false,M089,false,276,0,276,0,0.5,0.04,0.185,0.033,0.243,0.214,0.033,0.478,259,193,74.5%,259,186,71.8%,,,,
02M294,2,Essex Street Academy,false,M445,false,338,0,0,338,0.071,0.308,0.432,0.05,0.139,0.254,0.033,0.66,,,,,,,72,87.5%,75,89.3%
02M296,2,High School of Hospitality Management,false,M535,false,337,0,0,337,0.042,0.243,0.685,0.012,0.018,0.258,0.089,0.896,,,,,,,99,76.8%,82,82.9%
02M297,2,M.S. 297,false,M323,false,841,0,841,0,0.083,0.092,0.253,0.049,0.523,0.219,0.03,0.31,522,342,65.5%,527,320,60.7%,,,,
02M298,2,Pace High School,false,M131,false,549,0,0,549,0.051,0.326,0.525,0.049,0.049,0.197,0.031,0.791,,,,,,,135,84.4%,90,94.4%
02M300,2,"Urban Assembly School of Design and Construction, The",false,M535,false,263,0,0,263,0.065,0.209,0.692,0.019,0.015,0.289,0.076,0.81,,,,,,,84,72.6%,91,73.6%
02M303,2,"Facing History School, The",false,M535,false,350,0,0,350,0.003,0.26,0.686,0.026,0.026,0.251,0.1,0.823,,,,,,,99,82.8%,81,79.0%
02M305,2,"Urban Assembly Academy of Government and Law, The",false,M445,false,322,0,0,322,0.068,0.348,0.556,0.009,0.019,0.217,0.034,0.866,,,,,,,62,88.7%,64,89.1%
02M308,2,Lower Manhattan Arts Academy,false,M445,false,314,0,0,314,0.083,0.283,0.599,0.013,0.022,0.347,0.057,0.787,,,,,,,66,77.3%,71,87.3%
02M312,2,New York City Lab Middle School for Collaborative Studies,false,M070,false,603,0,603,0,0.6,0.017,0.065,0.073,0.245,0.128,0.008,0.34,542,497,91.7%,415,384,92.5%,,,,
02M313,2,"James Baldwin School, The: A School for Expeditionary Learning",false,M440,true,234,0,0,234,0.03,0.453,0.47,0.004,0.043,0.355,0.073,0.791,,,,,,,110,42.7%,112,63.4%
02M316,2,"Urban Assembly School of Business for Young Women, the",false,M282,false,178,0,0,178,0.067,0.438,0.421,0.034,0.039,0.14,0.09,0.865,,,,,,,47,76.6%,49,81.6%
02M340,2,Sixth Avenue Elementary School,false,M340,false,400,400,0,0,0.083,0.035,0.115,0.14,0.627,0.15,0,0.112,77,57,74.0%,77,57,74.0%,,,,
02M343,2,The Peck Slip School,false,M343,false,458,458,0,0,0.172,0.063,0.135,0.133,0.496,0.183,0.017,0.151,171,138,80.7%,172,127,73.8%,,,,
02M347,2,The 47 American Sign Language & English Lower School,false,M047,false,181,144,37,0,0.044,0.215,0.448,0.033,0.26,0.519,0.155,0.641,50,32,64.0%,43,22,51.2%,,,,
02M374,2,Gramercy Arts High School,false,M460,false,449,0,0,449,0.056,0.332,0.517,0.036,0.06,0.183,0.018,0.826,,,,,,,109,90.8%,126,86.5%
02M376,2,NYC iSchool,false,M615,false,465,0,0,465,0.086,0.123,0.256,0.067,0.469,0.198,0.011,0.398,,,,,,,109,100.0%,106,97.2%
02M391,2,District 2 Pre-K Center,true,"M281, M340, M343, M391, M453, M474, M491, M860, M444, M471",false,556,556,0,0,0.171,0.065,0.117,0.104,0.543,0.14,0,0.133,,,,,,,,,,
02M392,2,Manhattan Business Academy,false,M440,false,406,0,0,406,0.042,0.217,0.677,0.02,0.044,0.202,0.062,0.872,,,,,,,91,91.2%,103,87.4%
02M393,2,Business Of Sports School,false,M625,false,428,0,0,428,0.007,0.35,0.61,0.012,0.021,0.257,0.068,0.75,,,,,,,91,86.8%,94,91.5%
02M394,2,Emma Lazarus High School,false,M131,true,307,0,0,307,0.378,0.218,0.293,0.013,0.098,0,0.85,0.925,,,,,,,75,45.3%,96,59.4%
02M397,2,Spruce Street School,false,M971,false,561,382,179,0,0.162,0.034,0.155,0.102,0.547,0.217,0.027,0.18,311,248,79.7%,240,200,83.3%,,,,
02M399,2,The High School For Language And Diplomacy,false,M460,false,274,0,0,274,0.186,0.208,0.529,0.026,0.051,0.186,0.106,0.814,,,,,,,84,83.3%,98,89.8%
02M400,2,High School for Environmental Studies,false,M834,false,1133,0,0,1133,0.117,0.144,0.639,0.026,0.074,0.181,0.071,0.791,,,,,,,250,79.2%,279,90.3%
02M407,2,Institute for Collaborative Education,false,M475,false,489,0,211,278,0.059,0.231,0.211,0.059,0.44,0.194,0,0.321,22,17,77.3%,20,16,80.0%,67,95.5%,60,93.3%
02M408,2,Professional Performing Arts High School,false,M017,false,577,0,117,460,0.062,0.199,0.217,0.075,0.447,0.161,0.003,0.302,79,63,79.7%,59,44,74.6%,99,98.0%,96,95.8%
02M412,2,N.Y.C. Lab School for Collaborative Studies,false,M070,false,514,0,0,514,0.195,0.023,0.117,0.084,0.582,0.191,0.004,0.249,,,,,,,115,97.4%,153,99.3%
02M414,2,N.Y.C. Museum School,false,M070,false,454,0,0,454,0.227,0.123,0.326,0.046,0.278,0.229,0.002,0.513,,,,,,,95,97.9%,117,100.0%
02M419,2,Landmark High School,false,M440,false,335,0,0,335,0.027,0.301,0.621,0.021,0.03,0.212,0.06,0.857,,,,,,,98,76.5%,74,71.6%
02M420,2,High School for Health Professions and Human Services,false,M475,false,1822,0,0,1822,0.229,0.147,0.52,0.019,0.085,0.136,0.043,0.768,,,,,,,425,94.6%,372,96.5%
02M422,2,Quest to Learn,false,M440,false,581,0,198,383,0.114,0.256,0.444,0.036,0.15,0.281,0.033,0.707,137,62,45.3%,129,32,24.8%,81,82.7%,76,89.5%
02M427,2,Manhattan Academy For Arts & Language,false,M620,false,210,0,0,210,0.01,0.014,0.952,0,0.024,0.1,0.652,0.995,,,,,,,74,64.9%,64,54.7%
02M432,2,Murray Hill Academy,false,M620,true,263,0,0,263,0.061,0.304,0.544,0.034,0.057,0.262,0.019,0.871,,,,,,,70,68.6%,61,86.9%
02M437,2,Hudson High School of Learning Technologies,false,M440,false,458,0,0,458,0.059,0.279,0.6,0.026,0.035,0.271,0.09,0.819,,,,,,,109,79.8%,115,77.4%
02M438,2,International High School at Union Square,false,M460,false,351,0,0,351,0.154,0.205,0.524,0.009,0.108,0.04,0.778,0.866,,,,,,,93,68.8%,82,75.6%
02M449,2,Vanguard High School,false,M480,false,424,0,0,424,0.052,0.262,0.599,0.035,0.052,0.245,0.024,0.755,,,,,,,99,76.8%,102,79.4%
02M459,2,Manhattan International High School,false,M480,false,301,0,0,301,0.146,0.159,0.492,0.007,0.196,0.02,0.714,0.694,,,,,,,93,62.4%,72,88.9%
02M475,2,Stuyvesant High School,false,M477,false,3381,0,0,3381,0.721,0.008,0.034,0.051,0.185,0.005,0,0.449,,,,,,,821,98.9%,834,99.3%
02M500,2,Unity Center for Urban Technologies,false,M620,false,267,0,0,267,0.109,0.251,0.584,0.019,0.037,0.202,0.06,0.914,,,,,,,63,88.9%,71,78.9%
02M507,2,Urban Assembly Gateway School for Technology,false,M625,false,453,0,0,453,0.055,0.247,0.603,0.02,0.075,0.23,0.038,0.603,,,,,,,111,95.5%,106,94.3%
02M519,2,Talent Unlimited High School,false,M480,false,532,0,0,532,0.036,0.271,0.474,0.07,0.15,0.148,0.008,0.57,,,,,,,100,95.0%,126,97.6%
02M520,2,Murry Bergtraum High School for Business Careers,false,M520,false,114,0,0,114,0.018,0.544,0.386,0.035,0.018,0.096,0.026,0.825,,,,,,,62,74.2%,144,63.2%
02M533,2,Union Square Academy for Health Sciences,false,M460,false,404,0,0,404,0.109,0.171,0.658,0.007,0.054,0.173,0.062,0.871,,,,,,,94,84.0%,91,90.1%
02M542,2,Manhattan Bridges High School,false,M535,false,520,0,0,520,0.002,0.002,0.99,0.004,0.002,0.054,0.363,0.852,,,,,,,106,95.3%,119,93.3%
02M543,2,New Design High School,false,M445,false,454,0,0,454,0.057,0.361,0.542,0.011,0.029,0.286,0.04,0.778,,,,,,,85,77.6%,70,94.3%
02M544,2,Independence High School,false,M834,true,342,0,0,342,0.029,0.325,0.608,0.003,0.035,0.284,0.091,0.874,,,,,,,155,21.3%,157,58.0%
02M545,2,High School for Dual Language and Asian Studies,false,M445,false,396,0,0,396,0.927,0.018,0.028,0.005,0.023,0.03,0.146,0.856,,,,,,,88,100.0%,97,100.0%
02M546,2,Academy for Software Engineering,false,M460,false,453,0,0,453,0.119,0.216,0.532,0.024,0.108,0.256,0.049,0.687,,,,,,,107,93.5%,106,88.7%
02M560,2,High School M560 - City As School,false,M641,true,607,0,0,607,0.043,0.364,0.409,0.021,0.163,0.277,0.043,0.682,,,,,,,244,37.3%,351,61.8%
02M565,2,Urban Academy Laboratory High School,false,M480,true,137,0,0,137,0.044,0.263,0.416,0.036,0.241,0.204,0.007,0.62,,,,,,,42,59.5%,37,78.4%
02M580,2,Richard R. Green High School of Teaching,false,M282,false,352,0,0,352,0.043,0.295,0.611,0.02,0.031,0.205,0.043,0.795,,,,,,,115,83.5%,111,78.4%
02M586,2,Harvey Milk High School,false,M807,true,61,0,0,61,0,0.361,0.574,0.033,0.033,0.361,0.033,0.77,,,,,,,30,36.7%,30,40.0%
02M605,2,Humanities Preparatory Academy,false,M440,true,261,0,0,261,0.073,0.23,0.602,0.031,0.065,0.188,0.042,0.812,,,,,,,66,93.9%,50,88.0%
02M615,2,Chelsea Career and Technical Education High School,false,M615,false,449,0,0,449,0.129,0.225,0.595,0.018,0.033,0.232,0.049,0.846,,,,,,,96,84.4%,93,83.9%
02M630,2,Art and Design High School,false,M488,false,1465,0,0,1465,0.092,0.138,0.515,0.064,0.19,0.22,0.008,0.555,,,,,,,324,90.4%,322,89.1%
02M655,2,Life Sciences Secondary School,false,M645,false,394,0,0,394,0.079,0.266,0.604,0.018,0.033,0.211,0.099,0.82,,,,,,,97,79.4%,120,80.8%
02M896,2,Lower Manhattan Community Middle School,false,M282,false,378,0,378,0,0.437,0.079,0.151,0.045,0.288,0.299,0.045,0.481,347,248,71.5%,348,230,66.1%,,,,
02M933,2,City Knoll Middle School,false,M111,false,154,0,154,0,0.058,0.253,0.591,0.013,0.084,0.305,0.143,0.779,163,51,31.3%,161,37,23.0%,,,,
03M009,3,P.S. 009 Sarah Anderson,false,M009,false,624,624,0,0,0.077,0.04,0.181,0.075,0.627,0.189,0.03,0.176,290,232,80.0%,294,241,82.0%,,,,
03M075,3,P.S. 075 Emily Dickinson,false,M075,false,520,520,0,0,0.023,0.185,0.565,0.033,0.194,0.425,0.131,0.679,243,122,50.2%,241,131,54.4%,,,,
03M076,3,P.S. 076 A. Philip Randolph,false,M076,false,371,219,152,0,0.008,0.76,0.186,0.008,0.038,0.245,0.1,0.978,236,70,29.7%,221,27,12.2%,,,,
03M145,3,"P.S. 145, The Bloomingdale School",false,M145,false,395,395,0,0,0.013,0.266,0.516,0.018,0.187,0.319,0.099,0.706,143,28,19.6%,144,28,19.4%,,,,
03M149,3,P.S. 149 Sojourner Truth,false,M149,false,216,133,83,0,0.065,0.532,0.338,0.028,0.037,0.25,0.125,0.972,145,38,26.2%,146,31,21.2%,,,,
03M165,3,P.S. 165 Robert E. Simon,false,M165,false,432,432,0,0,0.063,0.148,0.537,0.019,0.234,0.192,0.086,0.623,193,97,50.3%,198,111,56.1%,,,,
03M241,3,STEM Institute of Manhattan,false,M113,false,97,97,0,0,0.031,0.546,0.33,0.021,0.072,0.351,0.155,0.959,70,15,21.4%,71,15,21.1%,,,,
03M242,3,P.S. 242 - The Young Diplomats Magnet Academy,false,M144,false,140,140,0,0,0.029,0.636,0.286,0.029,0.021,0.329,0.079,0.843,47,7,14.9%,48,6,12.5%,,,,
03M243,3,M.S. 243 Center School,false,M009,false,247,64,183,0,0.077,0.162,0.202,0.024,0.534,0.19,0,0.13,222,203,91.4%,174,149,85.6%,,,,
03M245,3,M.S. M245 The Computer School,false,M044,false,403,0,403,0,0.069,0.136,0.28,0.072,0.442,0.213,0.012,0.313,369,301,81.6%,289,209,72.3%,,,,
03M247,3,M.S. M247 Dual Language Middle School,false,M044,false,231,0,231,0,0.009,0.017,0.935,0,0.039,0.281,0.234,0.861,178,83,46.6%,184,87,47.3%,,,,
03M250,3,M.S. 250 West Side Collaborative Middle School,false,M075,false,152,0,152,0,0.013,0.375,0.507,0.046,0.059,0.349,0.053,0.737,143,33,23.1%,141,24,17.0%,,,,
03M256,3,Lafayette Academy,false,M118,false,143,0,143,0,0.007,0.399,0.287,0.035,0.273,0.224,0.112,0.678,135,74,54.8%,137,68,49.6%,,,,
03M258,3,Community Action School - MS 258,false,M118,false,244,0,244,0,0.033,0.307,0.549,0.016,0.094,0.254,0.086,0.754,203,82,40.4%,133,46,34.6%,,,,
03M299,3,The Maxine Greene HS for Imaginative Inquiry,false,M490,false,285,0,0,285,0.032,0.379,0.519,0.018,0.053,0.246,0.14,0.867,,,,,,,110,77.3%,107,73.8%
03M307,3,"Urban Assembly School for Media Studies, The",false,M490,false,409,0,0,409,0.017,0.291,0.65,0.024,0.017,0.164,0.024,0.861,,,,,,,108,82.4%,95,81.1%
03M333,3,P.S. 333 Manhattan School for Children,false,M118,false,689,500,189,0,0.071,0.134,0.174,0.074,0.547,0.245,0.023,0.206,421,312,74.1%,372,266,71.5%,s,s,,
03M334,3,The Anderson School,false,M044,false,522,336,186,0,0.312,0.025,0.086,0.117,0.46,0.096,0,0.121,329,319,97.0%,270,267,98.9%,,,,
03M402,3,The Urban Assembly School for Green Careers,false,M470,false,305,0,0,305,0.033,0.216,0.679,0.02,0.052,0.233,0.118,0.826,,,,,,,83,77.1%,85,84.7%
03M403,3,The Global Learning Collaborative,false,M470,false,419,0,0,419,0.021,0.229,0.702,0.017,0.031,0.224,0.107,0.835,,,,,,,99,78.8%,104,80.8%
03M404,3,Innovation Diploma Plus,false,M470,true,175,0,0,175,0.011,0.297,0.669,0,0.023,0.149,0.097,0.869,,,,,,,96,15.6%,100,56.0%
03M415,3,Wadleigh Secondary School for the Performing & Visual Arts,false,M088,false,313,0,87,226,0.01,0.45,0.479,0.045,0.016,0.227,0.042,0.843,68,25,36.8%,50,13,26.0%,47,87.2%,74,86.5%
03M417,3,Frank McCourt High School,false,M470,false,402,0,0,402,0.045,0.104,0.458,0.062,0.331,0.216,0.017,0.448,,,,,,,95,96.8%,86,98.8%
03M421,3,West Prep Academy,false,M145,false,183,0,183,0,0.011,0.492,0.432,0.016,0.049,0.361,0.066,0.82,176,69,39.2%,124,31,25.0%,,,,
03M479,3,Beacon High School,false,M912,false,1469,0,0,1469,0.098,0.151,0.204,0.11,0.436,0.131,0.001,0.276,,,,,,,306,98.4%,283,100.0%
03M492,3,"High School for Law, Advocacy and Community Justice",false,M490,false,405,0,0,405,0.054,0.311,0.568,0.032,0.035,0.156,0.052,0.911,,,,,,,109,76.1%,104,80.8%
03M494,3,High School of Arts and Technology,false,M490,false,459,0,0,459,0.063,0.285,0.593,0.024,0.035,0.24,0.074,0.819,,,,,,,116,69.0%,127,82.7%
03M541,3,Manhattan / Hunter Science High School,false,M490,false,455,0,0,455,0.27,0.176,0.288,0.055,0.211,0.143,0.004,0.611,,,,,,,100,99.0%,123,100.0%
03M859,3,Special Music School,true,"M490, M932",false,306,87,44,175,0.141,0.072,0.15,0.176,0.461,0.118,0.007,0.173,81,79,97.5%,68,67,98.5%,42,95.2%,51,98.0%
03M860,3,Frederick Douglass Academy II Secondary School,false,M088,false,321,0,73,248,0.009,0.614,0.321,0.022,0.034,0.249,0.097,0.85,55,15,27.3%,36,6,16.7%,76,76.3%,73,80.8%
03M862,3,Mott Hall II,false,M165,false,415,0,415,0,0.048,0.236,0.451,0.043,0.222,0.248,0.041,0.573,388,226,58.2%,261,116,44.4%,,,,
04M012,4,Tag Young Scholars,false,M117,false,600,398,202,0,0.452,0.12,0.138,0.102,0.188,0.053,0.013,0.348,399,379,95.0%,316,307,97.2%,,,,
04M037,4,River East Elementary,false,M045,false,265,265,0,0,0.008,0.426,0.498,0.023,0.045,0.283,0.057,0.815,99,36,36.4%,98,21,21.4%,,,,
04M038,4,P.S. 38 Roberto Clemente,false,M121,false,243,243,0,0,0.025,0.362,0.551,0.021,0.041,0.313,0.107,0.922,110,21,19.1%,111,16,14.4%,,,,
04M083,4,P.S. 083 Luis Munoz Rivera,false,M083,false,371,371,0,0,0.097,0.162,0.706,0.005,0.03,0.221,0.067,0.868,198,98,49.5%,195,109,55.9%,,,,
04M102,4,P.S. 102 Jacques Cartier,false,M102,false,243,243,0,0,0.07,0.346,0.498,0.049,0.037,0.321,0.115,0.844,109,46,42.2%,108,45,41.7%,,,,
04M146,4,P.S. 146 Ann M. Short,false,M146,false,389,389,0,0,0.046,0.252,0.668,0.01,0.023,0.357,0.149,0.964,158,49,31.0%,159,59,37.1%,,,,
04M155,4,P.S. 155 William Paca,false,M155,false,244,244,0,0,0.025,0.127,0.816,0.02,0.012,0.283,0.32,0.988,109,18,16.5%,110,17,15.5%,,,,
04M182,4,The Bilingual Bicultural School,false,M083,false,296,296,0,0,0.007,0.054,0.932,0,0.007,0.311,0.368,0.97,154,67,43.5%,155,54,34.8%,,,,
04M224,4,M.S. 224 Manhattan East School for Arts & Academics,false,M099,false,208,0,208,0,0.067,0.308,0.471,0.038,0.115,0.226,0.024,0.654,165,102,61.8%,114,61,53.5%,,,,
04M310,4,THE JUDITH S. KAYE HIGH SCHOOL,true,"M646, Q142",true,147,0,0,147,0.088,0.429,0.395,0.048,0.041,0.422,0.054,0.803,,,,,,,,,,
04M372,4,Esperanza Preparatory Academy,false,M117,false,525,0,212,313,0.015,0.118,0.846,0.004,0.017,0.234,0.305,0.91,174,36,20.7%,122,24,19.7%,94,75.5%,79,77.2%
04M375,4,Mosaic Preparatory Academy,false,M101,false,254,254,0,0,0.012,0.413,0.524,0.035,0.016,0.311,0.079,0.917,125,33,26.4%,118,14,11.9%,,,,
04M377,4,Renaissance School of the Arts,false,M155,false,202,0,202,0,0.005,0.436,0.525,0.035,0,0.262,0.054,0.931,144,50,34.7%,113,24,21.2%,,,,
04M435,4,Manhattan Center for Science and Mathematics,false,M435,false,1647,0,0,1647,0.214,0.196,0.509,0.016,0.065,0.138,0.058,0.805,,,,,,,378,96.8%,400,98.0%
04M497,4,Central Park East I,false,M013,false,174,174,0,0,0.086,0.121,0.414,0.126,0.253,0.241,0.057,0.431,34,19,55.9%,32,15,46.9%,,,,
04M555,4,Central Park East High School,false,M013,false,512,0,0,512,0.201,0.248,0.477,0.018,0.057,0.156,0.018,0.789,,,,,,,113,100.0%,112,97.3%
04M825,4,Isaac Newton Middle School for Math & Science,false,M435,false,281,0,281,0,0.06,0.21,0.719,0,0.011,0.238,0.085,0.893,212,93,43.9%,161,48,29.8%,,,,
04M964,4,Central Park East II,false,M050,false,466,312,154,0,0.054,0.315,0.453,0.047,0.131,0.303,0.043,0.586,210,90,42.9%,201,70,34.8%,,,,
05M030,5,P.S. 030 Hernandez/Hughes,false,M030,false,236,236,0,0,0.021,0.436,0.508,0.013,0.021,0.25,0.068,0.953,96,44,45.8%,101,25,24.8%,,,,
05M092,5,P.S. 092 Mary McLeod Bethune,false,M092,false,243,243,0,0,0.004,0.556,0.416,0.008,0.016,0.354,0.062,0.988,116,40,34.5%,116,41,35.3%,,,,
05M123,5,P.S. 123 Mahalia Jackson,false,M123,false,461,293,168,0,0.024,0.488,0.427,0.028,0.033,0.254,0.141,0.957,317,71,22.4%,323,49,15.2%,,,,
05M125,5,P.S. 125 Ralph Bunche,false,M125,false,303,303,0,0,0.05,0.35,0.353,0.056,0.191,0.191,0.02,0.647,65,38,58.5%,68,40,58.8%,,,,
